Nombre,Metodo_deteccion,Radio,Periodo_orbital,Indice_similitud_tierra,Distancia_estrella,Distancia_tierra,Radio_estrella,Ascension_recta,Declinacion
Kepler-62 d,Transit,1.95054,18.16406,0.34071037,0.03680981595092025,368.0,0.64,18.880851,45.349865
Kepler-62 e,Transit,1.61424,122.3874,0.82348299,0.13098159509202453,368.0,0.64,18.880851,45.349865
Kepler-62 f,Transit,1.41246,267.291,0.68613427,0.22024539877300614,368.0,0.64,18.880851,45.349865
Kepler-620 b,Transit,3.31816,12.913754,0.20566427,0.034611966257668714,1241.0,1.22,19.410627,51.334866000000005
Kepler-621 b,Transit,2.29805,2.6281137,0.24851576,0.010244691411042945,389.0,0.68,19.395153,39.914145
Kepler-622 b,Transit,2.1299,14.282267,0.362141,0.030447388343558285,259.0,0.61,18.965232,40.93311
Kepler-623 b,Transit,3.01549,9.0709773,0.22328867,0.0252043509202454,811.0,0.86,19.799116,47.47739
Kepler-624 b,Transit,2.30926,14.586496,0.25040746,0.03698765950920246,731.0,1.18,19.67956,39.539677
Kepler-625 b,Transit,1.99538,7.7519249,0.2635369,0.023818227607361964,502.0,0.96,19.476698,39.637581
Kepler-625 c,Transit,1.05374,4.1653651,0.29665494,0.01574243036809816,502.0,0.96,19.476698,39.637581
Kepler-626 b,Transit,2.28684,14.485852,0.25630554,0.03578451226993865,690.0,1.05,19.246578,39.708288
Kepler-627 b,Transit,3.73293,40.699444,0.20602157,0.07750542024539878,1143.0,1.49,19.47362,39.767914
Kepler-628 b,Transit,8.39629,15.458057,0.11039357,0.037244478527607365,579.0,1.28,19.363285,39.854802
Kepler-629 b,Transit,1.37883,7.2385854,0.29670904,0.021922432515337424,383.0,0.84,19.294523,39.945012999999996
