,P_NAME,P_STATUS,P_DETECTION,P_MASS,P_RADIUS,P_PERIOD,P_ECCENTRICITY,P_FLUX,P_ESI,P_DISTANCE,S_DISTANCE,S_MASS,S_RADIUS_EST,S_TYPE,S_CONSTELLATION,S_RA_H,S_DEC_T,P_HABZONE_CON
1217,K2-45 b,3.0,Transit,,6.71479,1.7292684,,102.47636,0.13096625,0.0224,154.09202453987731,0.5,0.45,,Leo,11.308859,-0.22586999999999996,0
1218,K2-46 b,3.0,Transit,,2.05143,19.1541,,119.5573,0.26317433,0.13821,139.54907975460125,0.96,1.29,,Leo,11.617757,0.907261,0
1219,K2-47 b,3.0,Transit,,1.89449,31.6372,,10.668537,0.37466933,0.1779,108.39877300613497,0.75,0.76,,Leo,11.23884,2.780711,0
1220,K2-48 b,3.0,Transit,,2.242,20.5065,,15.22529,0.32345416,0.1344,97.1196319018405,0.77,0.73,,Virgo,11.741571,3.272425,0
1221,K2-49 b,3.0,Transit,,1.92812,2.77065,,57.732802,0.2811387,0.0309,142.0429447852761,0.51,0.45,,Virgo,11.821348,3.475569,0
1222,K2-5 b,3.0,Transit,,1.9057,5.73594,,24.534957,0.31201669,0.0532,62.613496932515346,0.61,0.57,K7.5 V,Leo,11.2869,-0.12202399999999997,0
1223,K2-5 c,3.0,Transit,,2.26442,10.93241,,10.37772,0.35604252,0.0818,62.613496932515346,0.61,0.57,K7.5 V,Leo,11.2869,-0.12202399999999997,0
1224,K2-50 b,3.0,Transit,,1.59182,8.7529,,,,0.0705,79.54907975460122,0.61,,,Leo,11.298909,5.988378,0
1225,K2-52 b,3.0,Transit,,18.00326,3.535055,,3844.895,0.051436225,0.054,319.5398773006135,1.69,2.19,,Scorpius,16.440762,-23.030052,0
1226,K2-53 b,3.0,Transit,,2.60072,12.20772,,46.961289,0.25301677,0.098,42.66871165644172,0.85,0.81,,Scorpius,16.276122,-19.599466000000003,0
1227,K2-54 b,3.0,Transit,,1.15463,9.7843,,5.9790287,0.49298485,0.0671,53.93865030674847,0.42,0.38,,Aquarius,22.536948,-16.456004999999998,0
1228,K2-55 b,3.0,Transit,,3.82261,2.849258,,115.37075,0.19114801,0.03486,49.15950920245399,0.7,0.63,,Aquarius,22.250129,-16.749292,0
1229,K2-57 b,3.0,Transit,,2.09627,9.0063,,23.920879,0.30311686,0.0746,81.66564417177915,0.68,0.62,,Aquarius,22.846115,-13.930114,0
1230,K2-58 b,3.0,Transit,,2.67919,7.05254,,118.80247,0.23345149,0.0692,56.0398773006135,0.89,0.86,,Aquarius,22.254788,-13.950192,0
1231,K2-58 c,3.0,Transit,,1.62545,2.53726,,464.41001,0.27606098,0.035,56.0398773006135,0.89,0.86,,Aquarius,22.254788,-13.950192,0
1232,K2-58 d,3.0,Transit,,1.71513,22.8827,,24.721026,0.32180235,0.1517,56.0398773006135,0.89,0.86,,Aquarius,22.254788,-13.950192,0
1233,K2-59 b,3.0,Transit,,2.41015,20.6921,,17.005197,0.30675562,0.1354,96.34662576687117,0.77,0.73,,Aquarius,22.596158,-13.972254999999999,0
1234,K2-59 c,3.0,Transit,,2.29805,11.2954,,38.064651,0.27366234,0.0905,96.34662576687117,0.77,0.73,,Aquarius,22.596158,-13.972254999999999,0
1235,K2-6 b,3.0,Transit,,2.49983,30.94191,,26.844923,0.27710446,0.1898,98.03374233128834,0.97,0.96,,Virgo,11.879485,-0.801523,0
1236,K2-60 b,3.0,Transit,135.39473,7.65643,3.00265,0.0,507.8675,0.11021041,0.045,152.9754601226994,0.97,1.12,G4 V,Aquarius,22.573746,-12.268298,0
1237,K2-61 b,3.0,Transit,,2.47741,2.57302,,1691.3179,0.23249001,0.0392,125.87423312883438,1.21,1.36,,Aquarius,22.644984,-12.439976,0
